strategy,annualized_return,sharpe_ratio,max_drawdown,total_return
eata,0.3546,1.0179,0.3318,2.9054
buy_and_hold,0.1547,0.5991,0.5626,14.8295
finrl_a2c,0.0995,0.4367,0.3344,0.3462
macd,0.0865,0.4809,0.4211,3.0125
finrl_td3,0.0692,0.2694,0.154,0.2364
finrl_ppo,0.0506,0.3535,0.3183,0.178
finrl_ddpg,0.0492,0.188,0.1267,0.1815
finrl_sac,0.0189,0.0869,0.08,0.0659
lightgbm,0.0099,0.1989,0.511,0.1291
gp,-0.0082,0.1129,0.5248,0.1208
transformer,-0.0086,0.0563,0.183,-0.0189
lstm,-0.015,-0.0991,0.2162,-0.0173
arima,-0.0621,0.0109,0.5434,-0.0733
