ticker,method,expression,complexity,sharpe_ratio,annualized_return,max_drawdown
AAPL,EATA,unknown,20,0.0,0.0,0.0
AAPL,GP,"div(sub(X0, X0), add(0.393, 0.741))",7,-0.878784757761021,-0.2612310756252417,0.932156841885166
AMD,EATA,unknown,20,0.3459093906753304,0.06329737223130127,0.5877068867699742
AMD,GP,"div(sub(X0, X0), add(X0, X0))",7,-0.8494806401060477,-0.5033689031148667,0.9991758192730243
AMT,EATA,unknown,20,0.07499001524562458,-0.0021511161668212875,0.359244653282979
AMT,GP,"sub(X0, X0)",3,-0.42585835963039176,-0.15086880445079054,0.6739239013699028
BA,EATA,unknown,20,0.0,0.0,0.0
BA,GP,"div(sub(X0, X0), X0)",5,-0.40902312390208395,-0.20457897482368492,0.9277218355320476
BAC,EATA,unknown,20,0.7756976202485419,0.2695778634110235,0.40333246126375444
BAC,GP,"sub(X0, X0)",3,-0.5015158647771932,-0.1832652651675356,0.9032640329975561
BHP,EATA,unknown,20,-0.3208252682138722,-0.15572085891930387,0.6785950895551844
BHP,GP,"sub(X0, X0)",3,-0.17833136322237336,-0.11822817889462822,0.8884103990071724
CAT,EATA,unknown,20,0.0,0.0,0.0
CAT,GP,"sub(X0, X0)",3,-0.40943968708424333,-0.144536002856533,0.8739612525850423
COST,EATA,unknown,20,0.0,0.0,0.0
COST,GP,"div(sub(X0, X0), X0)",5,-0.8654048689784573,-0.1982084163024289,0.8302619416481813
DE,EATA,unknown,20,0.0,0.0,0.0
DE,GP,"div(div(sub(X0, X0), add(0.393, mul(-0.606, 0.292))), 0.741)",11,-0.7164079696897147,-0.21413466327425545,0.9195900869913366
EQIX,EATA,unknown,20,0.0,0.0,0.0
EQIX,GP,"sub(X0, X0)",3,-0.49143366141674766,-0.17994114478651457,0.7030235148598923
GE,EATA,unknown,20,0.0,0.0,0.0
GE,GP,"sub(X0, X0)",3,0.014083574180943512,-0.04831254281647024,0.7649343067734449
GOOG,EATA,unknown,20,-0.728215123243123,-0.22472924510008274,0.7596751625574851
GOOG,GP,"sub(X0, X0)",3,-0.5062688745214161,-0.19721492846500543,0.7264728125946921
JNJ,EATA,unknown,20,0.0,0.0,0.0
JNJ,GP,"sub(X0, X0)",3,-0.6254350170855842,-0.11654298432401367,0.7546951609956674
JPM,EATA,unknown,20,1.03434516487843,0.32356809559592814,0.3920844548903867
JPM,GP,"sub(X0, X0)",3,-0.5136761464764268,-0.1672480789896965,0.8215500517849481
KO,EATA,unknown,20,0.0,0.0,0.0
KO,GP,"sub(X0, X0)",3,-0.3499200766066124,-0.07604655407124405,0.5995298226013898
MSFT,EATA,unknown,20,-0.17854478878266136,-0.08484284616411486,0.5546652127877518
MSFT,GP,"sub(X0, X0)",3,-0.941993541091364,-0.2639139998396993,0.9255870559926733
NFLX,EATA,unknown,20,0.7027959577147769,0.2620175952168149,0.4869722387228643
NFLX,GP,"div(sub(X0, X0), 0.741)",5,-0.2684939683625337,-0.21663594553005783,0.782133292678937
NVDA,EATA,unknown,20,1.1123871443305329,0.5920307994729836,0.6068111253602498
NVDA,GP,"sub(X0, X0)",3,-0.6811329839516791,-0.38737147806505046,0.95178205552541
SCHW,EATA,unknown,20,1.3995312446053376,0.6073812565345886,0.2683219201306113
SCHW,GP,"mul(X0, sub(X0, X0))",5,-0.5327672050001934,-0.21725475859372168,0.8832082499988372
XOM,EATA,unknown,20,0.0,0.0,0.0
XOM,GP,"sub(X0, X0)",3,-0.20354693039247695,-0.08463295185878716,0.8157653679578024
